league_name,team_name,matches,wins,winrate
SLAM V,Xtreme Gaming,17,7,0.4117647058823529
SLAM V,Yakult Brothers,16,6,0.375
SLAM VI,GamerLegion,16,7,0.4375
SLAM VI,HEROIC,19,10,0.5263157894736842
SLAM VI,MOUZ,14,5,0.35714285714285715
SLAM VI,Natus Vincere,20,11,0.55
SLAM VI,OG,14,7,0.5
SLAM VI,REKONIX,13,1,0.07692307692307693
SLAM VI,Team Falcons,18,10,0.5555555555555556
SLAM VI,Team Liquid,25,18,0.72
SLAM VI,Team Spirit,13,5,0.38461538461538464
SLAM VI,Team Yandex,22,13,0.5909090909090909
SLAM VI,Tundra Esports,13,7,0.5384615384615384
SLAM VI,Xtreme Gaming,13,6,0.46153846153846156
